"ID" "CITY" "STATE" "ZIP" "Q050" "Q051" "Q052" "Q053" "Q054" "Q055" "Q056" "Q057" "Q058" "Q059" "Q060" "Q061" "Q062" "Q063" "Q064" "Q065" "Q066" "Q067" "Q068" "Q069" "Q070" "Q071" "Q072" "Q073" "Q074" "Q075" "Q076" "Q077" "Q078" "Q079" "Q080" "Q081" "Q082" "Q083" "Q084" "Q085" "Q086" "Q087" "Q088" "Q089" "Q090" "Q091" "Q092" "Q093" "Q094" "Q095" "Q096" "Q097" "Q098" "Q099" "Q100" "Q101" "Q102" "Q103" "Q104" "Q105" "Q106" "Q107" "Q109" "Q110" "Q111" "Q115" "Q117" "Q118" "Q119" "Q120" "Q121" "lat" "long"
29 "Chicago" "IL" "60659" 4 1 2 2 2 2 2 2 3 20 8 4 2 1 1 3 1 1 3 3 6 5 1 3 3 1 1 1 1 5 1 1 8 7 4 2 1 1 7 2 3 2 3 2 4 5 5 2 1 1 5 2 1 5 2 2 1 5 1 8 1 1 1 7 3 2 3 41.991381 -87.703783
30 "St.Louis" "MO" "63119" 4 2 2 2 2 2 2 2 2 20 9 7 2 1 1 1 1 1 3 3 6 2 1 6 4 1 1 1 1 1 8 1 2 7 3 6 3 1 7 1 1 1 3 2 1 1 3 1 2 2 4 2 3 4 1 1 1 2 1 8 2 1 1 8 1 2 2 38.590652 -90.351686
31 "Denton" "TX" "76201" 8 2 3 1 2 2 2 2 3 3 8 7 2 1 1 3 5 1 7 3 7 2 1 6 4 3 4 1 3 9 3 1 2 5 4 4 2 1 2 2 2 2 3 2 2 6 4 1 4 2 5 2 1 4 1 3 3 3 2 8 2 1 1 4 2 2 2 33.226598 -97.130616
32 "Moline" "IL" "61265" 1 1 1 1 2 2 1 2 2 20 8 1 2 1 1 3 5 1 3 3 2 2 1 6 1 1 1 1 3 9 8 1 2 5 3 6 3 2 7 3 1 2 2 2 3 5 4 2 2 1 4 3 1 3 4 2 1 9 1 8 2 1 5 7 3 2 6 41.490333 -90.50006
33 "Eugene" "OR" "97402" 4 1 3 2 2 2 2 2 3 21 9 4 2 1 1 2 2 1 3 3 2 2 1 6 4 1 1 1 1 7 8 1 8 7 4 5 3 1 1 2 3 2 3 2 1 6 5 2 1 6 4 2 3 3 6 1 1 3 1 8 3 1 1 7 1 2 5 44.062231 -123.168041
34 "FollyBeach" "SC" "29451" 8 2 2 1 2 2 2 2 2 20 8 3 2 1 1 2 2 1 7 6 7 5 1 1 4 1 4 1 1 1 3 1 2 0 2 2 3 2 4 1 1 2 2 2 2 3 3 1 1 6 4 2 3 4 4 1 1 3 1 8 2 3 1 7 1 2 2 32.798138 -79.764967
35 "SanFrancisco" "CA" "94109" 7 2 3 2 2 2 2 2 3 16 9 4 2 1 1 2 2 1 3 3 4 5 5 6 3 3 7 1 1 1 8 1 2 1 3 6 2 1 1 1 1 2 3 2 1 6 5 5 1 3 4 2 1 3 6 1 7 2 1 8 2 1 1 7 1 5 1 37.792778 -122.421881
36 "Pacific" "WA" "98047" 4 3 1 2 2 2 3 3 3 19 5 4 2 1 1 2 1 1 7 3 0 0 5 6 4 1 4 1 3 7 8 1 17 7 4 0 3 1 1 3 1 2 0 2 1 6 4 5 2 1 4 5 3 3 1 10 1 3 1 8 2 1 5 7 1 2 3 47.26619 -122.244635
39 "BuenaPark" "CA" "90620" 7 2 2 2 2 2 2 2 2 3 9 4 2 1 3 2 1 1 3 3 2 2 1 1 1 1 1 0 1 2 8 1 17 7 4 2 1 1 4 2 2 2 3 2 3 1 2 5 1 1 4 2 1 3 1 1 1 2 1 3 2 1 1 0 1 2 2 33.841014 -118.009694
40 "sparta" "NJ" "07823" 4 1 3 1 2 2 2 1 3 21 7 7 2 1 1 2 0 1 3 6 7 5 1 1 1 1 4 0 2 1 8 1 2 1 4 1 2 3 3 3 1 2 3 1 3 1 3 5 1 6 1 2 1 4 1 1 7 3 1 8 4 1 4 7 1 1 1 40.82383 -75.045855
41 "Marlborough" "MA" "01752" 7 1 2 2 2 2 2 2 3 16 8 4 1 1 1 2 2 1 6 0 7 0 1 1 11 1 1 1 2 9 1 1 8 0 1 2 2 2 7 1 1 2 0 2 3 2 4 1 1 3 4 3 1 1 3 1 1 3 1 8 2 1 3 0 1 2 7 42.350909 -71.54753
42 "BossierCity" "LA" "71112" 8 2 2 2 2 2 1 1 3 16 9 4 2 1 11 1 1 1 7 4 7 5 5 6 4 1 4 1 1 10 3 1 2 3 4 2 3 1 2 1 1 2 3 2 2 6 3 5 1 2 4 2 1 4 1 3 2 3 2 8 2 1 1 7 1 1 6 32.478752 -93.670404
43 "St.Louis" "MO" "63026" 8 1 3 2 2 2 2 2 2 2 9 6 2 1 1 2 1 1 7 3 7 5 1 1 4 1 9 1 1 10 1 3 2 7 3 6 2 2 1 1 1 2 3 2 6 6 5 5 2 3 4 5 3 4 4 1 2 3 4 8 2 1 4 4 1 2 4 38.502854 -90.460887
44 "NewYork" "NY" "10017" 4 1 3 2 2 3 1 1 2 20 8 6 2 1 3 3 1 1 3 3 2 2 1 1 4 1 8 1 3 1 1 1 2 5 4 6 2 2 1 3 3 2 1 2 4 1 5 1 1 4 1 2 1 4 1 1 1 3 1 3 7 1 5 6 3 2 4 40.752159 -73.97231
45 "Advance" "NC" "27006" 1 2 3 1 2 2 2 2 2 20 8 1 2 1 1 1 1 1 3 3 2 2 1 6 1 3 4 1 3 1 8 1 2 3 4 6 1 2 4 1 3 2 2 2 3 6 1 5 1 2 3 5 1 4 1 3 2 3 1 8 1 1 5 6 3 2 3 35.954679 -80.441322
46 "chicago" "IL" "60614" 4 1 1 2 2 2 2 2 3 20 8 6 2 1 1 1 1 1 7 4 3 3 1 3 11 1 1 1 1 1 8 1 11 5 4 2 2 2 1 3 1 2 3 2 1 6 4 2 3 6 4 2 10 4 2 2 1 5 1 8 2 3 1 7 3 2 4 41.922682 -87.654328
47 "Deerfield" "IL" "60015" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42.169325 -87.865567
48 "CampHill" "PA" "17011" 7 2 2 2 3 1 1 2 2 2 1 6 1 1 1 3 2 12 4 6 7 5 1 1 2 3 4 1 3 1 8 1 2 7 3 2 1 1 7 2 2 3 3 2 4 3 5 1 1 3 1 2 1 4 1 1 5 3 1 3 3 1 4 6 1 6 1 40.236139 -76.930845
49 "NewportBeach" "CA" "92660" 4 2 3 2 2 2 2 2 3 20 8 3 1 1 3 1 5 1 4 6 7 5 1 6 1 1 1 1 3 7 9 1 2 1 4 5 1 1 1 1 1 2 3 2 4 6 5 5 1 1 4 2 1 3 1 1 1 3 1 8 2 1 1 7 1 2 2 33.634821 -117.874539
50 "SanFrancisco" "CA" "94610" 7 2 2 2 2 2 2 2 13 20 8 3 2 1 11 3 2 1 6 3 7 5 5 1 13 1 1 4 3 7 8 1 12 7 4 2 2 2 7 3 1 2 3 2 1 6 4 5 1 2 4 2 3 4 1 5 1 3 1 8 3 1 1 7 1 1 6 37.812377 -122.241998
51 "AnnArbor" "MI" "48104" 4 1 1 2 3 2 3 2 2 3 9 3 1 1 1 1 1 1 7 0 6 3 1 1 1 1 1 1 1 9 8 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42.266805 -83.722978
52 "Farmingdale" "NY" "11735" 4 1 1 2 3 2 3 2 2 3 9 3 1 1 1 1 1 1 7 0 6 3 1 1 1 1 1 1 1 9 8 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40.725968 -73.441518
53 "NewYork" "NY" "11231" 4 1 1 2 2 2 2 1 13 20 8 4 2 1 1 3 8 1 7 6 7 5 6 1 0 3 7 4 4 1 8 1 5 7 1 1 3 3 1 3 3 2 3 1 4 1 5 2 3 2 4 2 10 4 1 1 1 3 1 8 3 1 1 7 1 1 3 40.6788 -74.00254
54 "fountainvalley" "CA" "92708" 8 2 2 2 2 2 1 2 3 20 9 7 9 1 3 3 7 1 7 4 6 3 1 1 4 1 1 4 1 2 8 1 2 7 4 6 3 2 6 1 1 2 3 2 1 1 5 1 1 2 1 2 10 3 1 1 1 3 1 3 1 1 1 7 1 2 3 33.708618 -117.956295
55 "" "MO" "65552" 4 1 3 1 1 2 1 1 2 20 8 4 2 1 1 1 5 1 3 3 3 3 5 6 4 1 1 1 3 1 8 1 8 5 6 5 3 1 4 3 2 1 3 2 4 1 4 2 3 6 4 2 8 4 1 1 3 9 1 8 2 1 1 6 3 2 3 37.545213 -92.17323
56 "SouthHaven" "MI" "49090" 4 1 3 1 3 3 2 3 3 20 8 3 2 1 1 3 2 1 7 5 7 5 1 1 4 1 1 1 2 1 8 1 8 7 4 5 3 1 4 3 1 3 3 2 4 5 5 2 2 2 4 2 3 3 2 2 1 4 1 8 3 3 1 7 3 2 4 42.403593 -86.249123
